data,home,away
2024-06-09,Criciuma,Cuiaba
2024-06-11,Bragantino,Atletico-MG
2024-06-11,Atletico GO,Corinthians
2024-06-11,Juventude,Vitoria
2024-06-11,Botafogo RJ,Fluminense
2024-06-13,Athletico-PR,Criciuma
2024-06-13,Flamengo RJ,Gremio
2024-06-13,Internacional,Sao Paulo
2024-06-13,Bahia,Fortaleza
2024-06-13,Palmeiras,Vasco
2024-06-13,Cruzeiro,Cuiaba
2024-06-15,Bragantino,Juventude
2024-06-15,Fluminense,Atletico GO
2024-06-16,Vasco,Cruzeiro
2024-06-16,Athletico-PR,Flamengo RJ
2024-06-16,Corinthians,Sao Paulo
2024-06-16,Vitoria,Internacional
2024-06-16,Criciuma,Bahia
2024-06-16,Cuiaba,Fortaleza
2024-06-16,Gremio,Botafogo RJ
2024-06-17,Atletico-MG,Palmeiras
2024-06-19,Atletico GO,Criciuma
2024-06-19,Fortaleza,Gremio
2024-06-19,Juventude,Vasco
2024-06-19,Sao Paulo,Cuiaba
2024-06-19,Cruzeiro,Fluminense
2024-06-19,Internacional,Corinthians
2024-06-19,Botafogo RJ,Athletico-PR
2024-06-20,Vitoria,Atletico-MG
2024-06-20,Flamengo RJ,Bahia
2024-06-20,Palmeiras,Bragantino
2024-06-22,Criciuma,Botafogo RJ
2024-06-22,Cuiaba,Atletico GO
2024-06-22,Vasco,Sao Paulo
2024-06-23,Bragantino,Vitoria
2024-06-23,Palmeiras,Juventude
2024-06-23,Bahia,Cruzeiro
2024-06-23,Atletico-MG,Fortaleza
2024-06-23,Gremio,Internacional
2024-06-23,Fluminense,Flamengo RJ
2024-06-23,Athletico-PR,Corinthians
2024-06-26,Bahia,Juventude
2024-06-26,Fluminense,Internacional
2024-06-26,Botafogo RJ,Bragantino
2024-06-26,Corinthians,Cuiaba
2024-06-26,Cruzeiro,Athletico-PR
2024-06-26,Atletico GO,Gremio
2024-06-26,Juventude,Flamengo RJ
2024-06-26,Bahia,Vasco
2024-06-26,Fortaleza,Palmeiras
2024-06-26,Internacional,Atletico-MG
2024-06-27,Fluminense,Vitoria
2024-06-27,Sao Paulo,Criciuma
2024-06-29,Palmeiras,Corinthians
2024-06-29,Vasco,Botafogo RJ
2024-06-29,Cuiaba,Bragantino
2024-06-30,Atletico-MG,Atletico GO
2024-06-30,Fortaleza,Juventude
2024-06-30,Gremio,Fluminense
2024-06-30,Sao Paulo,Bahia
2024-06-30,Criciuma,Internacional
2024-06-30,Flamengo RJ,Cruzeiro
2024-06-30,Vitoria,Athletico-PR
2024-07-03,Vasco,Fortaleza
2024-07-03,Criciuma,Cruzeiro
2024-07-03,Corinthians,Vitoria
2024-07-03,Cuiaba,Botafogo RJ
2024-07-03,Bragantino,Atletico GO
2024-07-03,Vitoria,Botafogo RJ
2024-07-03,Vasco,Corinthians
2024-07-03,Atletico-MG,Flamengo RJ
