,data,home,away
0,2024-06-09,Criciuma,Cuiaba
1,2024-06-11,Bragantino,Atletico-MG
2,2024-06-11,Atletico GO,Corinthians
3,2024-06-11,Juventude,Vitoria
4,2024-06-11,Botafogo RJ,Fluminense
5,2024-06-13,Athletico-PR,Criciuma
6,2024-06-13,Flamengo RJ,Gremio
7,2024-06-13,Internacional,Sao Paulo
8,2024-06-13,Bahia,Fortaleza
9,2024-06-13,Palmeiras,Vasco
10,2024-06-13,Cruzeiro,Cuiaba
11,2024-06-15,Bragantino,Juventude
12,2024-06-15,Fluminense,Atletico GO
13,2024-06-16,Vasco,Cruzeiro
14,2024-06-16,Athletico-PR,Flamengo RJ
15,2024-06-16,Corinthians,Sao Paulo
16,2024-06-16,Vitoria,Internacional
17,2024-06-16,Criciuma,Bahia
18,2024-06-16,Cuiaba,Fortaleza
19,2024-06-16,Gremio,Botafogo RJ
20,2024-06-17,Atletico-MG,Palmeiras
21,2024-06-19,Atletico GO,Criciuma
22,2024-06-19,Fortaleza,Gremio
23,2024-06-19,Juventude,Vasco
24,2024-06-19,Sao Paulo,Cuiaba
25,2024-06-19,Cruzeiro,Fluminense
26,2024-06-19,Internacional,Corinthians
27,2024-06-19,Botafogo RJ,Athletico-PR
28,2024-06-20,Vitoria,Atletico-MG
29,2024-06-20,Flamengo RJ,Bahia
30,2024-06-20,Palmeiras,Bragantino
31,2024-06-22,Criciuma,Botafogo RJ
32,2024-06-22,Cuiaba,Atletico GO
33,2024-06-22,Vasco,Sao Paulo
34,2024-06-23,Bragantino,Vitoria
35,2024-06-23,Palmeiras,Juventude
36,2024-06-23,Bahia,Cruzeiro
37,2024-06-23,Atletico-MG,Fortaleza
38,2024-06-23,Gremio,Internacional
39,2024-06-23,Fluminense,Flamengo RJ
40,2024-06-23,Athletico-PR,Corinthians
41,2024-06-26,Bahia,Juventude
42,2024-06-26,Fluminense,Internacional
43,2024-06-26,Botafogo RJ,Bragantino
44,2024-06-26,Corinthians,Cuiaba
45,2024-06-26,Cruzeiro,Athletico-PR
46,2024-06-26,Atletico GO,Gremio
47,2024-06-26,Juventude,Flamengo RJ
48,2024-06-26,Bahia,Vasco
49,2024-06-26,Fortaleza,Palmeiras
50,2024-06-26,Internacional,Atletico-MG
51,2024-06-27,Fluminense,Vitoria
52,2024-06-27,Sao Paulo,Criciuma
53,2024-06-29,Palmeiras,Corinthians
54,2024-06-29,Vasco,Botafogo RJ
55,2024-06-29,Cuiaba,Bragantino
56,2024-06-30,Atletico-MG,Atletico GO
57,2024-06-30,Fortaleza,Juventude
58,2024-06-30,Gremio,Fluminense
59,2024-06-30,Sao Paulo,Bahia
60,2024-06-30,Criciuma,Internacional
61,2024-06-30,Flamengo RJ,Cruzeiro
62,2024-06-30,Vitoria,Athletico-PR
63,2024-07-03,Vasco,Fortaleza
64,2024-07-03,Criciuma,Cruzeiro
65,2024-07-03,Corinthians,Vitoria
66,2024-07-03,Cuiaba,Botafogo RJ
67,2024-07-03,Bragantino,Atletico GO
68,2024-07-03,Vitoria,Botafogo RJ
69,2024-07-03,Vasco,Corinthians
70,2024-07-03,Atletico-MG,Flamengo RJ
71,2024-07-03,Gremio,Cruzeiro
72,2024-07-03,Palmeiras,Atletico GO
73,2024-07-03,Athletico-PR,Bahia
74,2024-07-03,Atletico-MG,Sao Paulo
75,2024-07-03,Athletico-PR,Sao Paulo
76,2024-07-03,Criciuma,Fluminense
77,2024-07-03,Flamengo RJ,Fortaleza
78,2024-07-03,Bragantino,Internacional
79,2024-07-03,Cuiaba,Juventude
80,2024-07-04,Gremio,Palmeiras
81,2024-07-06,Atletico GO,Vasco
82,2024-07-06,Bahia,Cuiaba
83,2024-07-06,Botafogo RJ,Palmeiras
84,2024-07-06,Corinthians,Criciuma
85,2024-07-06,Cruzeiro,Bragantino
86,2024-07-06,Fluminense,Athletico-PR
87,2024-07-06,Internacional,Flamengo RJ
88,2024-07-06,Juventude,Atletico-MG
89,2024-07-06,Sao Paulo,Gremio
90,2024-07-06,Flamengo RJ,Cuiaba
91,2024-07-06,Sao Paulo,Bragantino
