data;home;away;FTHG;FTAG
13/04/2024;Internacional;Bahia;2;1
13/04/2024;Criciuma;Juventude;1;1
13/04/2024;Sao Paulo;Fortaleza;1;2
13/04/2024;Fluminense;Bragantino;2;2
14/04/2024;Vasco;Gremio;2;1
14/04/2024;Corinthians;Atletico-MG;0;0
14/04/2024;Atletico GO;Flamengo RJ;1;2
14/04/2024;Athletico-PR;Cuiaba;4;0
14/04/2024;Cruzeiro;Botafogo RJ;3;2
14/04/2024;Vitoria;Palmeiras;0;1
16/04/2024;Bahia;Fluminense;2;1
17/04/2024;Gremio;Athletico-PR;2;0
17/04/2024;Bragantino;Vasco;2;1
17/04/2024;Palmeiras;Internacional;0;1
17/04/2024;Juventude;Corinthians;2;0
17/04/2024;Fortaleza;Cruzeiro;1;1
17/04/2024;Atletico-MG;Criciuma;1;1
17/04/2024;Flamengo RJ;Sao Paulo;2;1
18/04/2024;Botafogo RJ;Atletico GO;1;0
20/04/2024;Fluminense;Vasco;2;1
20/04/2024;Gremio;Cuiaba;1;0
20/04/2024;Bragantino;Corinthians;1;0
20/04/2024;Atletico-MG;Cruzeiro;3;0
21/04/2024;Vitoria;Bahia;2;2
21/04/2024;Palmeiras;Flamengo RJ;0;0
21/04/2024;Athletico-PR;Internacional;1;0
21/04/2024;Botafogo RJ;Juventude;5;1
21/04/2024;Atletico GO;Sao Paulo;0;3
27/04/2024;Vasco;Criciuma;0;4
27/04/2024;Cuiaba;Atletico-MG;0;3
27/04/2024;Bahia;Gremio;1;0
28/04/2024;Flamengo RJ;Botafogo RJ;0;2
28/04/2024;Cruzeiro;Vitoria;3;1
28/04/2024;Corinthians;Fluminense;3;0
28/04/2024;Juventude;Athletico-PR;1;1
28/04/2024;Fortaleza;Bragantino;1;1
28/04/2024;Internacional;Atletico GO;1;1
29/04/2024;Sao Paulo;Palmeiras;0;0
04/05/2024;Fluminense;Atletico-MG;2;2
04/05/2024;Bragantino;Flamengo RJ;1;1
04/05/2024;Corinthians;Fortaleza;0;0
05/05/2024;Vitoria;Sao Paulo;1;3
05/05/2024;Athletico-PR;Vasco;1;0
05/05/2024;Cuiaba;Palmeiras;0;2
05/05/2024;Botafogo RJ;Bahia;1;2
11/05/2024;Flamengo RJ;Corinthians;2;0
12/05/2024;Palmeiras;Athletico-PR;0;2
12/05/2024;Fortaleza;Botafogo RJ;1;1
12/05/2024;Atletico GO;Cruzeiro;0;1
12/05/2024;Vasco;Vitoria;2;1
12/05/2024;Bahia;Bragantino;1;0
13/05/2024;Sao Paulo;Fluminense;2;1
01/06/2024;Vitoria;Atletico GO;0;2
01/06/2024;Gremio;Bragantino;0;2
01/06/2024;Fluminense;Juventude;1;1
01/06/2024;Cuiaba;Internacional;0;1
01/06/2024;Corinthians;Botafogo RJ;0;1
02/06/2024;Vasco;Flamengo RJ;1;6
02/06/2024;Criciuma;Palmeiras;1;2
02/06/2024;Atletico-MG;Bahia;1;1
02/06/2024;Sao Paulo;Cruzeiro;2;0
02/06/2024;Fortaleza;Athletico-PR;1;0
05/06/2024;Juventude;Atletico GO;1;0
05/06/2024;Cuiaba;Vitoria;0;0
09/06/2024;Criciuma;Cuiaba;2;5
11/06/2024;Juventude;Vitoria;1;1
11/06/2024;Atletico GO;Corinthians;2;2
11/06/2024;Botafogo RJ;Fluminense;1;0
11/06/2024;Bragantino;Atletico-MG;1;2
13/06/2024;Cruzeiro;Cuiaba;2;1
13/06/2024;Internacional;Sao Paulo;0;0
13/06/2024;Flamengo RJ;Gremio;2;1
13/06/2024;Athletico-PR;Criciuma;3;1
13/06/2024;Palmeiras;Vasco;2;0
13/06/2024;Bahia;Fortaleza;1;0
15/06/2024;Bragantino;Juventude;2;1
15/06/2024;Fluminense;Atletico GO;1;2
16/06/2024;Vitoria;Internacional;2;1
16/06/2024;Corinthians;Sao Paulo;2;2
16/06/2024;Athletico-PR;Flamengo RJ;1;1
16/06/2024;Vasco;Cruzeiro;0;0
16/06/2024;Gremio;Botafogo RJ;1;2
16/06/2024;Cuiaba;Fortaleza;5;0
16/06/2024;Criciuma;Bahia;2;2
17/06/2024;Atletico-MG;Palmeiras;0;4
19/06/2024;Botafogo RJ;Athletico-PR;1;1
19/06/2024;Atletico GO;Criciuma;1;2
19/06/2024;Sao Paulo;Cuiaba;0;1
19/06/2024;Juventude;Vasco;2;0
19/06/2024;Fortaleza;Gremio;1;0
19/06/2024;Internacional;Corinthians;1;0
19/06/2024;Cruzeiro;Fluminense;2;0
20/06/2024;Vitoria;Atletico-MG;4;2
20/06/2024;Flamengo RJ;Bahia;2;1
20/06/2024;Palmeiras;Bragantino;2;1
22/06/2024;Criciuma;Botafogo RJ;2;1
22/06/2024;Gremio;Internacional;0;1
22/06/2024;Cuiaba;Atletico GO;0;0
22/06/2024;Vasco;Sao Paulo;4;1
23/06/2024;Fluminense;Flamengo RJ;0;1
23/06/2024;Bahia;Cruzeiro;4;1
23/06/2024;Athletico-PR;Corinthians;1;1
23/06/2024;Palmeiras;Juventude;3;1
23/06/2024;Bragantino;Vitoria;2;1
23/06/2024;Atletico-MG;Fortaleza;1;1
