data,home,away,FTHG,FTAG
2025-03-29,Flamengo RJ,Internacional,1,1
2025-03-29,Cruzeiro,Mirassol,2,1
2025-03-29,Fortaleza,Fluminense,2,0
2025-03-29,Gremio,Atletico-MG,2,1
2025-03-29,Juventude,Vitoria,2,0
2025-03-29,Sao Paulo,Sport Recife,0,0
2025-03-30,Bahia,Corinthians,1,1
2025-03-30,Vasco,Santos,2,1
2025-03-30,Palmeiras,Botafogo RJ,0,0
2025-03-31,Bragantino,Ceara,2,2
2025-04-05,Botafogo RJ,Juventude,2,0
2025-04-05,Ceara,Gremio,2,0
2025-04-05,Corinthians,Vasco,3,0
2025-04-06,Santos,Bahia,2,2
2025-04-06,Internacional,Cruzeiro,3,0
2025-04-06,Mirassol,Fortaleza,1,1
2025-04-06,Sport Recife,Palmeiras,1,2
2025-04-06,Vitoria,Flamengo RJ,1,2
2025-04-06,Atletico-MG,Sao Paulo,0,0
2025-04-06,Fluminense,Bragantino,2,1
2025-04-12,Vasco,Sport Recife,3,1
2025-04-12,Palmeiras,Corinthians,2,0
2025-04-12,Bragantino,Botafogo RJ,1,0
2025-04-12,Juventude,Ceara,2,1
2025-04-13,Atletico-MG,Vitoria,2,2
2025-04-13,Fortaleza,Internacional,0,0
2025-04-13,Fluminense,Santos,1,0
2025-04-13,Gremio,Flamengo RJ,0,2
2025-04-13,Sao Paulo,Cruzeiro,1,1
2025-04-13,Bahia,Mirassol,1,1
2025-04-15,Ceara,Vasco,2,1
2025-04-16,Flamengo RJ,Juventude,6,0
2025-04-16,Santos,Atletico-MG,2,0
2025-04-16,Vitoria,Fortaleza,2,1
2025-04-16,Corinthians,Fluminense,0,2
2025-04-16,Internacional,Palmeiras,0,1
2025-04-16,Mirassol,Gremio,4,1
2025-04-16,Sport Recife,Bragantino,0,1
2025-04-16,Botafogo RJ,Sao Paulo,2,2
2025-04-17,Cruzeiro,Bahia,3,0
2025-04-19,Gremio,Internacional,1,1
2025-04-19,Vasco,Flamengo RJ,0,0
2025-04-19,Corinthians,Sport Recife,2,1
2025-04-20,Bragantino,Cruzeiro,1,0
2025-04-20,Fluminense,Vitoria,1,1
2025-04-20,Fortaleza,Palmeiras,1,2
2025-04-20,Atletico-MG,Botafogo RJ,1,0
2025-04-20,Sao Paulo,Santos,2,1
2025-04-20,Juventude,Mirassol,2,2
2025-04-21,Bahia,Ceara,1,0
2025-04-26,Botafogo RJ,Fluminense,2,0
2025-04-26,Sport Recife,Fortaleza,0,0
2025-04-26,Ceara,Sao Paulo,1,1
2025-04-26,Mirassol,Atletico-MG,2,2
2025-04-26,Internacional,Juventude,3,1
2025-04-27,Santos,Bragantino,1,2
2025-04-27,Cruzeiro,Vasco,1,0
2025-04-27,Palmeiras,Bahia,0,1
2025-04-27,Vitoria,Gremio,1,1
2025-04-27,Flamengo RJ,Corinthians,4,0
2025-05-02,Sao Paulo,Fortaleza,0,0
2025-05-03,Bahia,Botafogo RJ,1,0
2025-05-03,Ceara,Vitoria,1,0
2025-05-03,Corinthians,Internacional,4,2
2025-05-03,Fluminense,Sport Recife,2,1
2025-05-04,Cruzeiro,Flamengo RJ,2,1
2025-05-04,Gremio,Santos,1,0
2025-05-04,Vasco,Palmeiras,0,1
2025-05-05,Juventude,Atletico-MG,0,1
2025-05-05,Bragantino,Mirassol,1,0
2025-05-10,Flamengo RJ,Bahia,1,0
2025-05-10,Gremio,Bragantino,1,1
2025-05-10,Mirassol,Corinthians,2,1
2025-05-10,Vitoria,Vasco,2,1
2025-05-10,Fortaleza,Juventude,5,0
2025-05-11,Botafogo RJ,Internacional,4,0
2025-05-11,Atletico-MG,Fluminense,3,2
2025-05-11,Palmeiras,Sao Paulo,1,0
2025-05-11,Sport Recife,Cruzeiro,0,4
2025-05-12,Santos,Ceara,0,0
2025-05-17,Sao Paulo,Gremio,2,1
2025-05-17,Vasco,Fortaleza,3,0
2025-05-17,Ceara,Sport Recife,2,0
2025-05-18,Cruzeiro,Atletico-MG,0,0
2025-05-18,Internacional,Mirassol,1,1
2025-05-18,Bragantino,Palmeiras,1,2
2025-05-18,Flamengo RJ,Botafogo RJ,0,0
2025-05-18,Bahia,Vitoria,2,1
2025-05-18,Corinthians,Santos,1,0
2025-05-18,Juventude,Fluminense,1,1
