data,home,away,FTHG,FTAG
2024-04-19,Novorizontino,CRB,2,1
2024-04-19,Botafogo SP,America MG,1,1
2024-04-19,Operario,Avai,1,0
2024-04-20,Chapecoense-SC,Ituano,3,1
2024-04-20,Santos,Paysandu PA,2,0
2024-04-20,Amazonas,Sport Recife,2,3
2024-04-20,Ceara,Goias,1,1
2024-04-21,Ponte Preta,Coritiba,1,1
2024-04-22,Vila Nova FC,Guarani,2,0
2024-04-23,Brusque,Mirassol,3,1
2024-04-26,Sport Recife,Vila Nova FC,2,0
2024-04-26,Ituano,Operario,0,2
2024-04-26,Avai,Santos,0,2
2024-04-26,Guarani,Chapecoense-SC,0,1
2024-04-27,Paysandu PA,Botafogo SP,1,1
2024-04-27,CRB,Amazonas,0,0
2024-04-27,America MG,Novorizontino,2,0
2024-04-28,Coritiba,Brusque,1,0
2024-04-28,Goias,Ponte Preta,3,0
2024-04-29,Mirassol,Ceara,3,2
2024-05-03,Paysandu PA,Avai,0,0
2024-05-03,Coritiba,Sport Recife,0,1
2024-05-04,Chapecoense-SC,America MG,2,2
2024-05-04,Vila Nova FC,Operario,1,0
2024-05-04,Ituano,Novorizontino,1,3
2024-05-05,Brusque,Goias,0,2
2024-05-06,Ceara,CRB,2,2
2024-05-06,Ponte Preta,Amazonas,3,0
2024-05-06,Santos,Guarani,4,1
2024-05-07,Botafogo SP,Mirassol,0,0
2024-05-08,America MG,Vila Nova FC,3,1
2024-05-10,Novorizontino,Ceara,0,3
2024-05-10,Goias,Ituano,2,0
2024-05-10,CRB,Chapecoense-SC,2,0
2024-05-11,Sport Recife,Brusque,4,1
2024-05-11,Operario,Ponte Preta,1,1
2024-05-11,Guarani,Botafogo SP,2,0
2024-05-11,Amazonas,Santos,1,0
2024-05-11,Avai,Coritiba,1,0
2024-05-12,Mirassol,Paysandu PA,2,1
2024-05-14,Vila Nova FC,Novorizontino,2,1
2024-05-14,Avai,CRB,2,1
2024-05-14,Coritiba,Guarani,1,0
2024-05-14,Botafogo SP,Chapecoense-SC,0,0
2024-05-15,Ituano,Sport Recife,1,0
2024-05-15,Brusque,Operario,0,0
2024-05-15,America MG,Mirassol,0,0
2024-05-15,Ponte Preta,Santos,1,2
2024-05-15,Paysandu PA,Goias,1,1
2024-05-15,Ceara,Amazonas,2,1
2024-05-17,CRB,Vila Nova FC,1,0
2024-05-17,Novorizontino,Coritiba,0,0
2024-05-18,Amazonas,Paysandu PA,1,1
2024-05-18,Goias,Botafogo SP,4,0
2024-05-18,Sport Recife,Avai,1,2
2024-05-19,Santos,Brusque,4,0
2024-05-19,Operario,Ceara,0,0
2024-05-19,Mirassol,Ituano,2,0
2024-05-20,Guarani,America MG,1,2
2024-05-21,Chapecoense-SC,Ponte Preta,0,0
2024-05-24,America MG,Santos,2,1
2024-05-25,Guarani,Paysandu PA,0,0
2024-05-26,Ituano,Ponte Preta,2,0
2024-05-26,Vila Nova FC,Brusque,2,2
2024-05-26,Ceara,Chapecoense-SC,2,1
2024-05-27,Coritiba,Operario,3,0
2024-05-27,Botafogo SP,Novorizontino,0,1
2024-05-27,Avai,Goias,2,0
2024-05-28,Amazonas,Mirassol,1,0
2024-05-31,Ceara,Coritiba,1,0
2024-05-31,Goias,Sport Recife,3,0
2024-06-01,Brusque,Novorizontino,0,0
2024-06-02,Ponte Preta,CRB,4,2
2024-06-02,Chapecoense-SC,Vila Nova FC,1,1
2024-06-02,Ituano,Avai,0,1
2024-06-03,Santos,Botafogo SP,1,2
2024-06-03,Operario,Amazonas,1,0
2024-06-04,Mirassol,Guarani,3,0
2024-06-04,Paysandu PA,America MG,2,0
2024-06-07,Coritiba,Ituano,4,2
2024-06-07,Novorizontino,Santos,3,1
2024-06-08,Guarani,Operario,0,1
2024-06-08,Amazonas,Brusque,2,1
2024-06-09,Avai,Chapecoense-SC,0,0
2024-06-09,America MG,Ponte Preta,2,0
2024-06-10,Vila Nova FC,Ceara,3,2
2024-06-10,Sport Recife,Paysandu PA,1,0
2024-06-11,Mirassol,Goias,1,0
2024-06-13,Amazonas,Chapecoense-SC,0,1
2024-06-14,Operario,Santos,1,0
2024-06-14,Avai,Guarani,3,2
2024-06-15,America MG,CRB,2,1
2024-06-15,Ponte Preta,Novorizontino,1,0
2024-06-15,Ituano,Paysandu PA,3,5
2024-06-16,Botafogo SP,Vila Nova FC,1,0
2024-06-16,Brusque,Ceara,1,0
2024-06-16,Sport Recife,Mirassol,1,0
2024-06-16,Goias,Coritiba,1,1
2024-06-17,Chapecoense-SC,Operario,0,1
2024-06-18,Guarani,Ituano,3,3
2024-06-18,Novorizontino,Amazonas,1,1
2024-06-18,Paysandu PA,CRB,1,1
2024-06-19,Santos,Goias,2,0
2024-06-19,Botafogo SP,Ponte Preta,2,0
2024-06-19,Coritiba,America MG,1,0
2024-06-19,Brusque,Avai,0,0
2024-06-20,Vila Nova FC,Mirassol,1,0
2024-06-20,Ceara,Sport Recife,0,0
