id_jogo;nacao;campeonato;ano;dia;home;away;endereco
hnX3ibri;BRAZIL;SERIE B;2024;01.06.2024;Brusque;Novorizontino;https://www.flashscore.com/match/hnX3ibri/#/
4WwMSE5j;BRAZIL;SERIE B;2024;02.06.2024;Chapecoense-SC;Vila Nova FC;https://www.flashscore.com/match/4WwMSE5j/#/
voOumqi5;BRAZIL;SERIE B;2024;02.06.2024;Ponte Preta;CRB;https://www.flashscore.com/match/voOumqi5/#/
prRmoNLH;BRAZIL;SERIE B;2024;02.06.2024;Ituano;Avai;https://www.flashscore.com/match/prRmoNLH/#/
QuuITfjp;BRAZIL;SERIE B;2024;03.06.2024;Santos;Botafogo SP;https://www.flashscore.com/match/QuuITfjp/#/
WxW7jIcc;BRAZIL;SERIE B;2024;03.06.2024;Operario;Amazonas;https://www.flashscore.com/match/WxW7jIcc/#/
Y7Nqn36B;BRAZIL;SERIE B;2024;04.06.2024;Mirassol;Guarani;https://www.flashscore.com/match/Y7Nqn36B/#/
E1LCkxD3;BRAZIL;SERIE B;2024;04.06.2024;Paysandu PA;America MG;https://www.flashscore.com/match/E1LCkxD3/#/
Wb7r3es3;BRAZIL;SERIE B;2024;07.06.2024;Coritiba;Ituano;https://www.flashscore.com/match/Wb7r3es3/#/
rwRmsEKq;BRAZIL;SERIE B;2024;07.06.2024;Novorizontino;Santos;https://www.flashscore.com/match/rwRmsEKq/#/
0YBn2Fd9;BRAZIL;SERIE B;2024;08.06.2024;Amazonas;Brusque;https://www.flashscore.com/match/0YBn2Fd9/#/
h88v4ySd;BRAZIL;SERIE B;2024;08.06.2024;CRB;Botafogo SP;https://www.flashscore.com/match/h88v4ySd/#/
0INOnzcM;BRAZIL;SERIE B;2024;08.06.2024;Guarani;Operario;https://www.flashscore.com/match/0INOnzcM/#/
j3Ueuhkd;BRAZIL;SERIE B;2024;09.06.2024;Avai;Chapecoense-SC;https://www.flashscore.com/match/j3Ueuhkd/#/
x0QitYZk;BRAZIL;SERIE B;2024;09.06.2024;America MG;Ponte Preta;https://www.flashscore.com/match/x0QitYZk/#/
MROKmGsG;BRAZIL;SERIE B;2024;10.06.2024;Vila Nova FC;Ceara;https://www.flashscore.com/match/MROKmGsG/#/
vPAj1ZBF;BRAZIL;SERIE B;2024;10.06.2024;Sport Recife;Paysandu PA;https://www.flashscore.com/match/vPAj1ZBF/#/
tUvMofCS;BRAZIL;SERIE B;2024;11.06.2024;Mirassol;Goias;https://www.flashscore.com/match/tUvMofCS/#/
M1uUEhtF;BRAZIL;SERIE B;2024;13.06.2024;Amazonas;Chapecoense-SC;https://www.flashscore.com/match/M1uUEhtF/#/
vwjPFYQ8;BRAZIL;SERIE B;2024;14.06.2024;Operario;Santos;https://www.flashscore.com/match/vwjPFYQ8/#/
